source_image,patch_file,idx,cx,cy,x0,y0,x1,y1,score,edge_density
data/raw/IMG_8452.jpeg,data/interim/roi_dump/patches/IMG_8452__005__cx514_cy2621__s4990.6905__ed0.3089.jpg,5,514,2621,382,2489,647,2754,4990.690461828839,0.308935564257743
data/raw/IMG_8452.jpeg,data/interim/roi_dump/patches/IMG_8452__006__cx418_cy1950__s4974.9030__ed0.2842.jpg,6,418,1950,286,1818,551,2083,4974.903032961767,0.28417230331078674
data/raw/IMG_8452.jpeg,data/interim/roi_dump/patches/IMG_8452__007__cx418_cy2238__s4969.0040__ed0.2974.jpg,7,418,2238,286,2106,551,2371,4969.003989826888,0.2974296902812389
data/raw/IMG_8452.jpeg,data/interim/roi_dump/patches/IMG_8452__008__cx131_cy2429__s4919.0634__ed0.3148.jpg,8,131,2429,-1,2297,264,2562,4919.0634083107,0.3148309006763973
data/raw/IMG_8452.jpeg,data/interim/roi_dump/patches/IMG_8452__009__cx706_cy2812__s4883.4122__ed0.2949.jpg,9,706,2812,574,2680,839,2945,4883.412227372697,0.294937700249199
data/raw/IMG_8452.jpeg,data/interim/roi_dump/patches/IMG_8452__010__cx610_cy2238__s4843.3468__ed0.2858.jpg,10,610,2238,478,2106,743,2371,4843.346780008287,0.28575293698825205
data/raw/IMG_8452.jpeg,data/interim/roi_dump/patches/IMG_8452__011__cx897_cy2525__s4740.6976__ed0.2901.jpg,11,897,2525,765,2393,1030,2658,4740.697647762718,0.2900676397294411
data/raw/IMG_8452.jpeg,data/interim/roi_dump/patches/IMG_8452__012__cx323_cy2429__s4712.5111__ed0.3059.jpg,12,323,2429,191,2297,456,2562,4712.511091282126,0.305873976504094
data/raw/IMG_8452.jpeg,data/interim/roi_dump/patches/IMG_8452__013__cx514_cy2429__s4690.3397__ed0.3076.jpg,13,514,2429,382,2297,647,2562,4690.339709589258,0.3076112495550018
data/raw/IMG_8452.jpeg,data/interim/roi_dump/patches/IMG_8452__014__cx323_cy2621__s4642.3145__ed0.3231.jpg,14,323,2621,191,2489,456,2754,4642.314537474536,0.3231327874688501
data/raw/IMG_8452.jpeg,data/interim/roi_dump/patches/IMG_8452__015__cx227_cy1855__s4585.0547__ed0.3272.jpg,15,227,1855,95,1723,360,1988,4585.05474911473,0.32723389106443573
data/raw/IMG_8452.jpeg,data/interim/roi_dump/patches/IMG_8452__016__cx514_cy2812__s4500.5608__ed0.3038.jpg,16,514,2812,382,2680,647,2945,4500.560764041904,0.3037664649341403
data/raw/IMG_8452.jpeg,data/interim/roi_dump/patches/IMG_8452__017__cx610_cy1855__s4446.1972__ed0.2843.jpg,17,610,1855,478,1723,743,1988,4446.197249626392,0.2843004627981488
data/raw/IMG_8452.jpeg,data/interim/roi_dump/patches/IMG_8452__018__cx801_cy2238__s4342.0275__ed0.2636.jpg,18,801,2238,669,2106,934,2371,4342.027542076074,0.2635955856176575
data/raw/IMG_8452.jpeg,data/interim/roi_dump/patches/IMG_8452__019__cx131_cy2621__s4291.2590__ed0.3257.jpg,19,131,2621,-1,2489,264,2754,4291.258991229057,0.32571021715913134
data/raw/IMG_8452.jpeg,data/interim/roi_dump/patches/IMG_8452__020__cx131_cy1663__s4254.3937__ed0.3264.jpg,20,131,1663,-1,1531,264,1796,4254.393657558598,0.32642221431114277
data/raw/IMG_8452.jpeg,data/interim/roi_dump/patches/IMG_8452__021__cx610_cy2046__s4204.6037__ed0.2798.jpg,21,610,2046,478,1914,743,2179,4204.603727398906,0.2797864008543966
data/raw/IMG_8452.jpeg,data/interim/roi_dump/patches/IMG_8452__022__cx227_cy2812__s4192.0269__ed0.3219.jpg,22,227,2812,95,2680,360,2945,4192.026884183462,0.32192239231043074
data/raw/IMG_8452.jpeg,data/interim/roi_dump/patches/IMG_8452__023__cx514_cy1472__s4091.5663__ed0.3079.jpg,23,514,1472,382,1340,647,1605,4091.5663122194237,0.30791028835884654
data/raw/IMG_8452.jpeg,data/interim/roi_dump/patches/IMG_8452__024__cx993_cy1472__s4042.2606__ed0.2770.jpg,24,993,1472,861,1340,1126,1605,4042.26061786816,0.2769811320754717
data/raw/IMG_8452.jpeg,data/interim/roi_dump/patches/IMG_8452__025__cx418_cy1759__s4023.1587__ed0.3126.jpg,25,418,1759,286,1627,551,1892,4023.158739257371,0.31255250978996085
data/raw/IMG_8452.jpeg,data/interim/roi_dump/patches/IMG_8452__026__cx131_cy1472__s3898.6878__ed0.3389.jpg,26,131,1472,-1,1340,264,1605,3898.6878477312857,0.3389106443574226
data/raw/IMG_8452.jpeg,data/interim/roi_dump/patches/IMG_8452__027__cx610_cy1663__s3863.5098__ed0.3063.jpg,27,610,1663,478,1531,743,1796,3863.5097668879316,0.3063438946244215
data/raw/IMG_8452.jpeg,data/interim/roi_dump/patches/IMG_8452__028__cx323_cy1567__s3807.9739__ed0.3316.jpg,28,323,1567,191,1435,456,1700,3807.973881768121,0.331562833748665
data/raw/IMG_8452.jpeg,data/interim/roi_dump/patches/IMG_8452__029__cx993_cy1759__s3749.6181__ed0.2755.jpg,29,993,1759,861,1627,1126,1892,3749.618091730459,0.2754574581701673
data/raw/IMG_8452.jpeg,data/interim/roi_dump/patches/IMG_8452__030__cx706_cy1472__s3635.8091__ed0.3037.jpg,30,706,1472,574,1340,839,1605,3635.809075115889,0.3036810252758989
data/raw/IMG_8452.jpeg,data/interim/roi_dump/patches/IMG_8452__031__cx801_cy1759__s3631.7271__ed0.2871.jpg,31,801,1759,669,1627,934,1892,3631.727101845201,0.28707725169099324
data/raw/IMG_8452.jpeg,data/interim/roi_dump/patches/IMG_8452__032__cx131_cy1280__s3626.1968__ed0.3418.jpg,32,131,1280,-1,1148,264,1413,3626.1968471496366,0.3418298326806693
data/raw/IMG_8452.jpeg,data/interim/roi_dump/patches/IMG_8452__033__cx323_cy1376__s3552.8855__ed0.3374.jpg,33,323,1376,191,1244,456,1509,3552.885468215449,0.3374012103951584
data/raw/IMG_8452.jpeg,data/interim/roi_dump/patches/IMG_8452__034__cx610_cy1280__s3440.1446__ed0.3055.jpg,34,610,1280,478,1148,743,1413,3440.14458596654,0.3055464578141687
data/raw/IMG_8452.jpeg,data/interim/roi_dump/patches/IMG_8452__035__cx227_cy1089__s3436.5053__ed0.3464.jpg,35,227,1089,95,957,360,1222,3436.5053183725686,0.3464435742257031
data/raw/IMG_8452.jpeg,data/interim/roi_dump/patches/IMG_8452__036__cx418_cy1089__s3284.4054__ed0.3357.jpg,36,418,1089,286,957,551,1222,3284.40542319417,0.3356639373442506
data/raw/IMG_8452.jpeg,data/interim/roi_dump/patches/IMG_8452__037__cx610_cy1089__s3176.3426__ed0.3165.jpg,37,610,1089,478,957,743,1222,3176.342604923877,0.31649697401210397
data/raw/IMG_8452.jpeg,data/interim/roi_dump/patches/IMG_8452__038__cx1089_cy1280__s3159.3521__ed0.2866.jpg,38,1089,1280,957,1148,1222,1413,3159.3521394249983,0.286564613741545
data/raw/IMG_8452.jpeg,data/interim/roi_dump/patches/IMG_8452__039__cx131_cy897__s2959.1861__ed0.3472.jpg,39,131,897,-1,765,264,1030,2959.1860710237524,0.34715557137771447
data/raw/IMG_8452.jpeg,data/interim/roi_dump/patches/IMG_8452__040__cx610_cy897__s2898.0091__ed0.3230.jpg,40,610,897,478,765,743,1030,2898.009138692578,0.3230188679245283
data/raw/IMG_8452.jpeg,data/interim/roi_dump/patches/IMG_8452__041__cx1184_cy1472__s2886.9648__ed0.2458.jpg,41,1184,1472,1052,1340,1317,1605,2886.96479887201,0.2457814168743325
data/raw/IMG_8452.jpeg,data/interim/roi_dump/patches/IMG_8452__042__cx1184_cy1663__s2842.3179__ed0.2393.jpg,42,1184,1663,1052,1531,1317,1796,2842.3178942673258,0.2393449626201495
data/raw/IMG_8452.jpeg,data/interim/roi_dump/patches/IMG_8452__043__cx897_cy1280__s2782.7354__ed0.3107.jpg,43,897,1280,765,1148,1030,1413,2782.73542851815,0.31067283730865075
data/raw/IMG_8452.jpeg,data/interim/roi_dump/patches/IMG_8452__044__cx1184_cy1855__s2724.3160__ed0.2154.jpg,44,1184,1855,1052,1723,1317,1988,2724.3159954505973,0.21537913848344606
data/raw/IMG_8452.jpeg,data/interim/roi_dump/patches/IMG_8452__045__cx418_cy897__s2692.5625__ed0.3458.jpg,45,418,897,286,765,551,1030,2692.562485856237,0.3458312566749733
data/raw/IMG_8452.jpeg,data/interim/roi_dump/patches/IMG_8452__046__cx993_cy993__s2635.6218__ed0.3067.jpg,46,993,993,861,861,1126,1126,2635.6217964950483,0.30672837308650763
data/raw/IMG_8452.jpeg,data/interim/roi_dump/patches/IMG_8452__047__cx993_cy2334__s2561.9258__ed0.1893.jpg,47,993,2334,861,2202,1126,2467,2561.9257922323304,0.18933428266286934
data/raw/IMG_8452.jpeg,data/interim/roi_dump/patches/IMG_8452__048__cx1089_cy2525__s2542.1873__ed0.2399.jpg,48,1089,2525,957,2393,1222,2658,2542.187289229536,0.23991456034175862
data/raw/IMG_8452.jpeg,data/interim/roi_dump/patches/IMG_8452__049__cx1089_cy2717__s2523.1057__ed0.2319.jpg,49,1089,2717,957,2585,1222,2850,2523.105675727071,0.2318689925240299
data/raw/IMG_8452.jpeg,data/interim/roi_dump/patches/IMG_8452__050__cx801_cy897__s2498.1338__ed0.3221.jpg,50,801,897,669,765,934,1030,2498.1337570874603,0.3220932716269135
data/raw/IMG_8452.jpeg,data/interim/roi_dump/patches/IMG_8452__051__cx801_cy1089__s2486.0377__ed0.3156.jpg,51,801,1089,669,957,934,1222,2486.0376818259247,0.3156140975436098
data/raw/IMG_8452.jpeg,data/interim/roi_dump/patches/IMG_8452__052__cx131_cy706__s2478.9715__ed0.3607.jpg,52,131,706,-1,574,264,839,2478.971500866057,0.36068351726593095
data/raw/IMG_8452.jpeg,data/interim/roi_dump/patches/IMG_8452__053__cx1184_cy993__s2367.3911__ed0.3045.jpg,53,1184,993,1052,861,1317,1126,2367.3910803560866,0.3044642221431114
data/raw/IMG_8452.jpeg,data/interim/roi_dump/patches/IMG_8452__054__cx323_cy706__s2244.4514__ed0.3650.jpg,54,323,706,191,574,456,839,2244.4514136392972,0.3649697401210395
data/raw/IMG_8452.jpeg,data/interim/roi_dump/patches/IMG_8452__055__cx801_cy1950__s2182.4142__ed0.1818.jpg,55,801,1950,669,1818,934,2083,2182.4141595307156,0.1818440726237095
data/raw/IMG_8452.jpeg,data/interim/roi_dump/patches/IMG_8452__056__cx993_cy1950__s2112.4814__ed0.1478.jpg,56,993,1950,861,1818,1126,2083,2112.4813924398622,0.14779636881452474
data/raw/IMG_8452.jpeg,data/interim/roi_dump/patches/IMG_8452__057__cx993_cy801__s2104.3583__ed0.3296.jpg,57,993,801,861,669,1126,934,2104.3583483126713,0.3295692417230331
data/raw/IMG_8452.jpeg,data/interim/roi_dump/patches/IMG_8452__058__cx131_cy514__s2086.0589__ed0.3656.jpg,58,131,514,-1,382,264,647,2086.058865802712,0.36555357778568887
data/raw/IMG_8452.jpeg,data/interim/roi_dump/patches/IMG_8452__059__cx514_cy706__s2058.9879__ed0.3600.jpg,59,514,706,382,574,647,839,2058.987935298006,0.35998576005695976
data/raw/IMG_8452.jpeg,data/interim/roi_dump/patches/IMG_8452__060__cx1280_cy801__s2012.9899__ed0.3249.jpg,60,1280,801,1148,669,1413,934,2012.9899410334765,0.32488430046279815
data/raw/IMG_8452.jpeg,data/interim/roi_dump/patches/IMG_8452__061__cx323_cy514__s1980.6388__ed0.3665.jpg,61,323,514,191,382,456,647,1980.6387793388567,0.36652189391242435
